,Word,Count,% of Total
577,living,7,0.01632767307333458
578,fade,7,0.01632767307333458
579,heard,7,0.01632767307333458
580,sign,7,0.01632767307333458
581,worlds,7,0.01632767307333458
582,bottom,7,0.01632767307333458
583,wonder,7,0.01632767307333458
584,hell,7,0.01632767307333458
585,nkotb,7,0.01632767307333458
586,any,7,0.01632767307333458
587,desire,7,0.01632767307333458
588,share,7,0.01632767307333458
589,safest,7,0.01632767307333458
590,wasnt,7,0.01632767307333458
591,shake,7,0.01632767307333458
592,slow,7,0.01632767307333458
593,forgive,7,0.01632767307333458
594,sunday,7,0.01632767307333458
595,mom,7,0.01632767307333458
596,trying,7,0.01632767307333458
597,story,7,0.01632767307333458
598,pretty,7,0.01632767307333458
599,wear,7,0.01632767307333458
600,beside,7,0.01632767307333458
601,scared,7,0.01632767307333458
602,bein,7,0.01632767307333458
603,might,7,0.01632767307333458
604,compare,6,0.013995148348572496
605,beat,6,0.013995148348572496
606,shoulder,6,0.013995148348572496
607,high,6,0.013995148348572496
608,secrets,6,0.013995148348572496
609,lalala,6,0.013995148348572496
610,touching,6,0.013995148348572496
611,meaning,6,0.013995148348572496
612,backstreet,6,0.013995148348572496
613,doing,6,0.013995148348572496
614,dancing,6,0.013995148348572496
615,read,6,0.013995148348572496
616,spinning,6,0.013995148348572496
617,ones,6,0.013995148348572496
618,unsuspecting,6,0.013995148348572496
619,bigger,6,0.013995148348572496
620,wanted,6,0.013995148348572496
621,death,6,0.013995148348572496
622,mmm,6,0.013995148348572496
623,public,6,0.013995148348572496
624,isnt,6,0.013995148348572496
625,under,6,0.013995148348572496
626,moving,6,0.013995148348572496
627,road,6,0.013995148348572496
628,bout,6,0.013995148348572496
629,ending,6,0.013995148348572496
630,playa,6,0.013995148348572496
631,top,6,0.013995148348572496
632,prechorus,6,0.013995148348572496
633,decide,6,0.013995148348572496
634,upon,6,0.013995148348572496
635,mad,6,0.013995148348572496
636,fast,6,0.013995148348572496
637,years,6,0.013995148348572496
638,shame,6,0.013995148348572496
639,anyone,6,0.013995148348572496
640,family,6,0.013995148348572496
641,bsb,6,0.013995148348572496
642,his,6,0.013995148348572496
643,fighting,6,0.013995148348572496
644,oooh,6,0.013995148348572496
645,shines,6,0.013995148348572496
646,ways,6,0.013995148348572496
647,breathing,6,0.013995148348572496
648,view,6,0.013995148348572496
649,lover,6,0.013995148348572496
650,fading,6,0.013995148348572496
651,siberia,6,0.013995148348572496
652,ask,6,0.013995148348572496
653,tick,6,0.013995148348572496
654,ima,6,0.013995148348572496
655,tearin,6,0.013995148348572496
656,sand,6,0.013995148348572496
657,burning,6,0.013995148348572496
658,fly,6,0.013995148348572496
659,thousand,6,0.013995148348572496
660,display,5,0.011662623623810413
661,worthy,5,0.011662623623810413
662,blame,5,0.011662623623810413
663,acting,5,0.011662623623810413
664,b,5,0.011662623623810413
665,consequences,5,0.011662623623810413
666,red,5,0.011662623623810413
667,dadadadada,5,0.011662623623810413
668,chain,5,0.011662623623810413
669,twisted,5,0.011662623623810413
670,calling,5,0.011662623623810413
671,theyre,5,0.011662623623810413
672,past,5,0.011662623623810413
673,water,5,0.011662623623810413
674,ii,5,0.011662623623810413
675,mysterious,5,0.011662623623810413
676,atmosphere,5,0.011662623623810413
677,clear,5,0.011662623623810413
678,person,5,0.011662623623810413
679,drive,5,0.011662623623810413
680,pick,5,0.011662623623810413
681,started,5,0.011662623623810413
682,pray,5,0.011662623623810413
683,original,5,0.011662623623810413
684,anybody,5,0.011662623623810413
685,shared,5,0.011662623623810413
686,distance,5,0.011662623623810413
687,reasons,5,0.011662623623810413
688,sharing,5,0.011662623623810413
689,complete,5,0.011662623623810413
690,message,5,0.011662623623810413
691,quick,5,0.011662623623810413
692,watching,5,0.011662623623810413
693,sea,5,0.011662623623810413
694,promised,5,0.011662623623810413
695,sexual,5,0.011662623623810413
696,tomorrow,5,0.011662623623810413
697,awake,5,0.011662623623810413
698,actions,5,0.011662623623810413
699,satellite,5,0.011662623623810413
700,destiny,5,0.011662623623810413
701,whenever,5,0.011662623623810413
702,lying,5,0.011662623623810413
703,affection,5,0.011662623623810413
704,fix,5,0.011662623623810413
705,cmon,5,0.011662623623810413
706,their,5,0.011662623623810413
707,whos,5,0.011662623623810413
708,numb,5,0.011662623623810413
709,climbing,5,0.011662623623810413
710,win,5,0.011662623623810413
711,telling,5,0.011662623623810413
712,bruised,5,0.011662623623810413
713,him,5,0.011662623623810413
714,kinda,5,0.011662623623810413
715,sick,5,0.011662623623810413
716,boy,5,0.011662623623810413
717,looks,5,0.011662623623810413
718,dropping,5,0.011662623623810413
719,darling,5,0.011662623623810413
720,talking,5,0.011662623623810413
721,three,5,0.011662623623810413
722,use,5,0.011662623623810413
723,went,5,0.011662623623810413
724,pretend,5,0.011662623623810413
725,half,5,0.011662623623810413
726,battery,5,0.011662623623810413
727,needed,5,0.011662623623810413
728,teach,5,0.011662623623810413
729,skin,5,0.011662623623810413
730,reaction,5,0.011662623623810413
731,across,5,0.011662623623810413
732,spilled,5,0.011662623623810413
733,fireworks,4,0.00933009889904833
734,hadnt,4,0.00933009889904833
735,thinking,4,0.00933009889904833
736,callin,4,0.00933009889904833
737,moon,4,0.00933009889904833
738,collide,4,0.00933009889904833
739,rather,4,0.00933009889904833
740,crowd,4,0.00933009889904833
741,feelings,4,0.00933009889904833
742,stupid,4,0.00933009889904833
743,cover,4,0.00933009889904833
744,room,4,0.00933009889904833
745,fit,4,0.00933009889904833
746,pulling,4,0.00933009889904833
747,turned,4,0.00933009889904833
748,3x,4,0.00933009889904833
749,rushin,4,0.00933009889904833
750,stuff,4,0.00933009889904833
751,hahahahaha,4,0.00933009889904833
752,store,4,0.00933009889904833
753,darkest,4,0.00933009889904833
754,asked,4,0.00933009889904833
755,very,4,0.00933009889904833
756,begin,4,0.00933009889904833
757,parade,4,0.00933009889904833
758,old,4,0.00933009889904833
759,loved,4,0.00933009889904833
760,judge,4,0.00933009889904833
761,dreamers,4,0.00933009889904833
762,havent,4,0.00933009889904833
763,rushed,4,0.00933009889904833
764,swing,4,0.00933009889904833
765,queen,4,0.00933009889904833
766,damage,4,0.00933009889904833
767,divine,4,0.00933009889904833
768,yours,4,0.00933009889904833
769,unsaid,4,0.00933009889904833
770,smooth,4,0.00933009889904833
771,whatcha,4,0.00933009889904833
772,wonderful,4,0.00933009889904833
773,loud,4,0.00933009889904833
774,banging,4,0.00933009889904833
775,inconsolable,4,0.00933009889904833
776,okay,4,0.00933009889904833
777,sound,4,0.00933009889904833
778,tight,4,0.00933009889904833
779,clock,4,0.00933009889904833
780,t,4,0.00933009889904833
781,shine,4,0.00933009889904833
782,played,4,0.00933009889904833
783,lead,4,0.00933009889904833
784,fell,4,0.00933009889904833
785,somehow,4,0.00933009889904833
786,ohoh,4,0.00933009889904833
787,climb,4,0.00933009889904833
788,emphasis,4,0.00933009889904833
789,moves,4,0.00933009889904833
790,favorite,4,0.00933009889904833
791,mystery,4,0.00933009889904833
792,changing,4,0.00933009889904833
793,stayed,4,0.00933009889904833
794,pour,4,0.00933009889904833
795,ring,4,0.00933009889904833
796,tone,4,0.00933009889904833
797,hour,4,0.00933009889904833
798,hesitate,4,0.00933009889904833
799,lines,4,0.00933009889904833
800,grow,4,0.00933009889904833
801,tired,4,0.00933009889904833
802,singing,4,0.00933009889904833
803,wants,4,0.00933009889904833
804,zone,4,0.00933009889904833
805,shed,4,0.00933009889904833
806,asleep,4,0.00933009889904833
807,higher,4,0.00933009889904833
808,drivin,4,0.00933009889904833
809,hair,4,0.00933009889904833
810,missing,4,0.00933009889904833
811,frozen,4,0.00933009889904833
812,fake,4,0.00933009889904833
813,stronger,4,0.00933009889904833
814,ice,4,0.00933009889904833
815,deal,4,0.00933009889904833
816,mark,4,0.00933009889904833
817,feelin,4,0.00933009889904833
818,stole,4,0.00933009889904833
819,misery,4,0.00933009889904833
820,incomplete,4,0.00933009889904833
821,dragging,4,0.00933009889904833
822,starlight,4,0.00933009889904833
823,happily,4,0.00933009889904833
824,kissed,4,0.00933009889904833
825,finding,4,0.00933009889904833
826,shows,4,0.00933009889904833
827,king,4,0.00933009889904833
828,touched,4,0.00933009889904833
829,suppose,4,0.00933009889904833
830,heh,4,0.00933009889904833
831,beggin,4,0.00933009889904833
832,resist,4,0.00933009889904833
833,war,4,0.00933009889904833
834,heat,4,0.00933009889904833
835,happened,4,0.00933009889904833
836,unmistakable,4,0.00933009889904833
837,reality,4,0.00933009889904833
838,spanish,4,0.00933009889904833
839,creepin,4,0.00933009889904833
840,giving,4,0.00933009889904833
841,instead,4,0.00933009889904833
842,kissing,4,0.00933009889904833
843,told,4,0.00933009889904833
844,picture,4,0.00933009889904833
845,burn,4,0.00933009889904833
846,feet,4,0.00933009889904833
847,moved,4,0.00933009889904833
848,less,4,0.00933009889904833
849,movie,3,0.006997574174286248
850,understood,3,0.006997574174286248
851,static,3,0.006997574174286248
852,proof,3,0.006997574174286248
853,haze,3,0.006997574174286248
854,darlin,3,0.006997574174286248
855,aware,3,0.006997574174286248
856,happen,3,0.006997574174286248
857,chipping,3,0.006997574174286248
858,memorys,3,0.006997574174286248
859,ohhhh,3,0.006997574174286248
860,girls,3,0.006997574174286248
861,escape,3,0.006997574174286248
862,begun,3,0.006997574174286248
863,smiled,3,0.006997574174286248
864,voicing,3,0.006997574174286248
865,teardrop,3,0.006997574174286248
866,aaah,3,0.006997574174286248
867,sitting,3,0.006997574174286248
868,imagine,3,0.006997574174286248
869,waste,3,0.006997574174286248
870,town,3,0.006997574174286248
871,strength,3,0.006997574174286248
872,wind,3,0.006997574174286248
873,tokyo,3,0.006997574174286248
874,none,3,0.006997574174286248
875,count,3,0.006997574174286248
876,blink,3,0.006997574174286248
877,replace,3,0.006997574174286248
878,wrongs,3,0.006997574174286248
879,helplessly,3,0.006997574174286248
880,against,3,0.006997574174286248
881,hardly,3,0.006997574174286248
882,cried,3,0.006997574174286248
883,figured,3,0.006997574174286248
884,trippin,3,0.006997574174286248
885,verse,3,0.006997574174286248
886,gimme,3,0.006997574174286248
887,cos,3,0.006997574174286248
888,fam,3,0.006997574174286248
889,bet,3,0.006997574174286248
890,pictures,3,0.006997574174286248
891,yo,3,0.006997574174286248
892,cannot,3,0.006997574174286248
893,asking,3,0.006997574174286248
894,angel,3,0.006997574174286248
895,catch,3,0.006997574174286248
896,possible,3,0.006997574174286248
897,plays,3,0.006997574174286248
898,bang,3,0.006997574174286248
899,mention,3,0.006997574174286248
900,bullet,3,0.006997574174286248
901,eat,3,0.006997574174286248
902,both,3,0.006997574174286248
903,beach,3,0.006997574174286248
904,withinside,3,0.006997574174286248
905,hidin,3,0.006997574174286248
906,faith,3,0.006997574174286248
907,dawn,3,0.006997574174286248
908,aaahh,3,0.006997574174286248
909,smiling,3,0.006997574174286248
910,talks,3,0.006997574174286248
911,nickall,3,0.006997574174286248
912,drop,3,0.006997574174286248
913,pedigree,3,0.006997574174286248
914,city,3,0.006997574174286248
915,fear,3,0.006997574174286248
916,grocery,3,0.006997574174286248
917,shut,3,0.006997574174286248
918,movies,3,0.006997574174286248
919,vulgar,3,0.006997574174286248
920,selfish,3,0.006997574174286248
921,despite,3,0.006997574174286248
922,shadows,3,0.006997574174286248
923,slip,3,0.006997574174286248
924,rule,3,0.006997574174286248
925,ecstasy,3,0.006997574174286248
926,woo,3,0.006997574174286248
927,hi,3,0.006997574174286248
928,clown,3,0.006997574174286248
929,plane,3,0.006997574174286248
930,yell,3,0.006997574174286248
931,symphony,3,0.006997574174286248
932,somethin,3,0.006997574174286248
933,add,3,0.006997574174286248
934,celebrity,3,0.006997574174286248
935,restaurant,3,0.006997574174286248
936,shorter,3,0.006997574174286248
937,almost,3,0.006997574174286248
938,sounds,3,0.006997574174286248
939,gravity,3,0.006997574174286248
940,silly,3,0.006997574174286248
941,summer,3,0.006997574174286248
942,making,3,0.006997574174286248
943,written,3,0.006997574174286248
944,guilty,3,0.006997574174286248
945,s,3,0.006997574174286248
946,turns,3,0.006997574174286248
947,mainly,3,0.006997574174286248
948,hits,3,0.006997574174286248
949,waitin,3,0.006997574174286248
950,synthesized,3,0.006997574174286248
951,finished,3,0.006997574174286248
952,edge,3,0.006997574174286248
953,club,3,0.006997574174286248
954,unbroken,3,0.006997574174286248
955,question,3,0.006997574174286248
956,aimed,3,0.006997574174286248
957,called,3,0.006997574174286248
958,rio,3,0.006997574174286248
959,glance,3,0.006997574174286248
960,accept,3,0.006997574174286248
961,stare,3,0.006997574174286248
962,number,3,0.006997574174286248
963,scene,3,0.006997574174286248
964,2,3,0.006997574174286248
965,whoo,3,0.006997574174286248
966,leads,3,0.006997574174286248
967,brought,3,0.006997574174286248
968,became,3,0.006997574174286248
969,runnin,3,0.006997574174286248
970,hello,3,0.006997574174286248
971,cut,3,0.006997574174286248
972,loving,3,0.006997574174286248
973,exit,3,0.006997574174286248
974,universe,3,0.006997574174286248
975,money,3,0.006997574174286248
976,jumpin,3,0.006997574174286248
977,grave,3,0.006997574174286248
978,miles,3,0.006997574174286248
