,Word,Count,% of Total
141,another,46,0.12695608975243564
142,away,46,0.12695608975243564
143,really,45,0.12419617475781747
144,find,45,0.12419617475781747
145,crazy,45,0.12419617475781747
146,stop,45,0.12419617475781747
147,about,45,0.12419617475781747
148,la,45,0.12419617475781747
149,howie,45,0.12419617475781747
150,try,45,0.12419617475781747
151,better,44,0.1214362597631993
152,alone,43,0.11867634476858113
153,true,43,0.11867634476858113
154,new,43,0.11867634476858113
155,face,43,0.11867634476858113
156,wrong,43,0.11867634476858113
157,inside,42,0.11591642977396296
158,call,42,0.11591642977396296
159,turn,42,0.11591642977396296
160,something,42,0.11591642977396296
161,somebody,42,0.11591642977396296
162,whoa,41,0.1131565147793448
163,wont,41,0.1131565147793448
164,last,40,0.11039659978472663
165,forever,40,0.11039659978472663
166,fall,40,0.11039659978472663
167,even,40,0.11039659978472663
168,well,39,0.10763668479010846
169,too,39,0.10763668479010846
170,goodbye,39,0.10763668479010846
171,tonight,38,0.1048767697954903
172,hands,38,0.1048767697954903
173,rock,37,0.10211685480087214
174,live,36,0.09935693980625397
175,playin,36,0.09935693980625397
176,ever,36,0.09935693980625397
177,cuz,36,0.09935693980625397
178,then,36,0.09935693980625397
179,chance,36,0.09935693980625397
180,games,36,0.09935693980625397
181,lets,36,0.09935693980625397
182,makes,35,0.0965970248116358
183,apart,35,0.0965970248116358
184,uh,35,0.0965970248116358
185,party,35,0.0965970248116358
186,falling,34,0.09383710981701764
187,mind,34,0.09383710981701764
188,yes,34,0.09383710981701764
189,they,34,0.09383710981701764
190,words,33,0.09107719482239947
191,boys,33,0.09107719482239947
192,lights,33,0.09107719482239947
193,used,32,0.08831727982778131
194,made,32,0.08831727982778131
195,masquerade,32,0.08831727982778131
196,some,31,0.08555736483316315
197,breathe,31,0.08555736483316315
198,good,31,0.08555736483316315
199,end,31,0.08555736483316315
200,change,31,0.08555736483316315
201,home,31,0.08555736483316315
202,look,30,0.08279744983854498
203,gone,30,0.08279744983854498
204,quit,30,0.08279744983854498
205,pda,30,0.08279744983854498
206,shattered,30,0.08279744983854498
207,lose,29,0.08003753484392681
208,soldier,29,0.08003753484392681
209,goes,29,0.08003753484392681
210,listen,29,0.08003753484392681
211,should,29,0.08003753484392681
212,sun,28,0.07727761984930864
213,please,28,0.07727761984930864
214,other,28,0.07727761984930864
215,mean,28,0.07727761984930864
216,beautiful,28,0.07727761984930864
217,run,27,0.07451770485469048
218,enough,27,0.07451770485469048
219,part,27,0.07451770485469048
220,same,26,0.07175778986007231
221,people,26,0.07175778986007231
222,promise,26,0.07175778986007231
223,them,26,0.07175778986007231
224,feels,25,0.06899787486545414
225,die,25,0.06899787486545414
226,maybe,25,0.06899787486545414
227,bridge,25,0.06899787486545414
228,before,25,0.06899787486545414
229,little,25,0.06899787486545414
230,start,25,0.06899787486545414
231,knew,24,0.06623795987083597
232,side,24,0.06623795987083597
